Plate ID	Hour	Min	Second	Travel Orientation	LaneID
JFYY019	7	17	2	1	2
JGE23829	7	17	3	3	2
wp	7	17	3	1	3
JR9A650	7	17	4	3	3
JGQ710M7	7	17	4	1	2
wp	7	17	4	1	3
JRSY758	7	17	6	1	3
wp	7	17	7	1	2
wp	7	17	8	1	3
JR2DS12	7	17	10	4	2
wp	7	17	11	1	2
wp	7	17	12	1	3
wp	7	17	15	1	2
JR00706	7	17	16	2	2
JRQH238	7	17	16	2	3
JR6U091	7	17	22	4	1
JR72K58	7	17	23	2	1
JRGZ056	7	17	25	3	3
JR3871K	7	17	28	1	2
wp	7	17	40	1	3
wp	7	17	47	1	2
JRWD599	7	17	49	2	2
JB0X586	7	17	50	4	1
JGNK2Z88	7	17	50	2	3
JR7S301	7	17	52	2	3
JRWP719	7	17	52	2	2
wp	7	17	55	2	3
JF92058	7	17	56	3	3
JR8G085	7	17	58	4	1
JRAR345	7	17	59	1	3
JRT8873	7	18	0	2	2
JR3568X	7	18	2	4	3
JR77C27	7	18	4	1	3
wp	7	18	7	1	3
JRNE567	7	18	9	2	1
JRTH952	7	18	10	2	3
JRF2277	7	18	16	4	1
JRTA169	7	18	18	4	3
wp	7	18	19	1	3
JRT1488	7	18	21	4	2
HB66283	7	18	22	1	3
wp	7	18	22	4	1
JGNF2621	7	18	30	4	1
JRUQ351	7	18	32	4	1
JR77L81	7	18	34	4	3
JGPT7G58	7	18	34	1	3
JRMN256	7	18	35	1	2
JOM9M22	7	18	38	1	2
JRNF879	7	18	38	3	3
JF72W85	7	18	40	1	3
wp	7	18	40	3	2
JR62552	7	18	41	1	2
JRXU626	7	18	41	3	2
JR8P920	7	18	42	1	2
JA03X93	7	18	42	1	3
wp	7	18	42	3	1
JRYY717	7	18	44	1	3
JR9195P	7	18	45	1	2
wp	7	18	45	3	2
JR69307	7	18	46	3	3
JRQR191	7	18	46	3	2
JRZH611	7	18	47	2	1
JGNG9877	7	18	47	1	2
JGQSE211	7	18	48	3	2
JR63782	7	18	49	3	3
JNACU011	7	18	49	1	3
JD50Q07	7	18	50	1	2
JGN00921	7	18	51	3	2
JN5R399	7	18	51	1	3
JRR5819	7	18	52	3	3
JGLF9751	7	18	53	1	2
JRMM040	7	18	53	3	3
JR92872	7	18	53	3	1
JRVT621	7	18	53	3	2
wp	7	18	54	1	3
JGNEF982	7	18	55	2	2
JR33623	7	18	55	3	2
wp	7	18	57	1	3
JR7F216	7	18	58	3	2
JGP9J266	7	19	0	1	2
JR79803	7	19	0	3	2
wp	7	19	11	1	3
JR77510	7	19	16	1	2
JGN2DR08	7	19	21	1	2
JRRV561	7	19	25	3	3
JR8511G	7	19	27	3	3
wp	7	19	41	1	1
wp	7	19	46	1	3
JR40691	7	19	48	2	3
JP95555	7	19	49	4	2
JR5C629	7	19	49	2	2
JR55072	7	19	50	4	2
JRKV692	7	19	50	3	2
JRT8878	7	19	51	2	2
wp	7	19	51	2	3
JRT2313	7	19	53	4	1
wp	7	19	54	1	3
wp	7	19	54	2	3
JR7H369	7	19	56	4	3
JR80G76	7	19	56	4	2
wp	7	19	58	2	3
JR85G79	7	19	59	2	2
JRU4226	7	19	59	4	2
wp	7	19	59	1	3
JRT8967	7	20	0	4	1
JRTM618	7	20	0	3	1
JRZL214	7	20	0	4	3
JRRG088	7	20	2	4	3
JRN2799	7	20	4	1	3
JRWY720	7	20	5	4	3
wp	7	20	5	4	1
JR9W789	7	20	6	4	3
JRQY076	7	20	8	4	2
JRT8722	7	20	10	4	3
JR00550	7	20	11	1	2
JRAB098	7	20	12	4	3
JGN7MX19	7	20	12	4	1
ZRHY529	7	20	14	4	2
JPS5A11	7	20	16	4	3
JGQH6D55	7	20	16	4	1
wp	7	20	17	1	1
JGGV6041	7	20	18	4	1
JGM17399	7	20	20	4	1
JR39829	7	20	26	1	3
wp	7	20	28	2	1
JRT8151	7	20	31	2	3
JR2U597	7	20	32	4	3
wp	7	20	33	1	3
wp	7	20	36	1	3
JR8T918	7	20	38	1	2
JR7F073	7	20	39	3	2
JGNE9246	7	20	39	1	1
JRT2215	7	20	40	1	3
JA658E3	7	20	41	1	2
JR78K51	7	20	42	3	2
JRVZ260	7	20	42	2	2
JRAJ577	7	20	43	3	3
